Устройство,Название,Серийный,Инвентарный,Покупка,Статус,Состояние,Списание,Nonee,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11
Презентационное оборудование,2200-86270-114 СИСТЕМА ВИДЕОКОНФЕРЕНЦИИ,8L2135607970FB,600000027230,,Склад,Рабочий,списан,/,,  ,,
Презентационное оборудование,7200-85760-114 Система видеоконференции Poly,8213170FFA6DD5,600000027229,,Склад,Рабочий,списан,/,,  ,,
Конференц-зал,8-ми канал.блок включ-я по 20А на канал HCS600-12Б,,30000005042,24.12.2014,Эксплуатация,Рабочий,на балансе,,,Capital City Center   Управление информационных систем и телекоммуникаций,,
Конференц-зал,8-ми канал.блок включ-я по 20А на канал HCS600-12Б,,30000005043,24.12.2014,Склад,Рабочий,на балансе,,Склад-7,  ,,
Коммутатор,ARUBA 10GSFP,CN94KCCMZJ,,,Эксплуатация,Рабочий,списан,/,3704,Усербеков Нурсултан Русланович  Сектор аудита запасов,,
Коммутатор,ARUBA 10GSFP,CN94KJW68D,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW6YR,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW6ZP,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW723,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW7G1,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW7PJ,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW855,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW878,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW8NS,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW8R6,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94KJW99K,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN94RCCN37,,,Эксплуатация,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN97KJW0F4,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN97KJW1GL,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN97KJW3G7,,,Склад,Рабочий,списан,/,,  ,,
Коммутатор,ARUBA 10GSFP,CN97KJW3PT,,,Склад,Рабочий,списан,/,,  ,,
